Chromosome Position.bp. Rate.cM.Mb. Map.cM.
chr4 77283873 0.182022 90.655475
chr4 77285396 0.108908 90.655753
chr4 77285434 0.031636 90.655757
chr4 77285833 0.006143 90.655769
chr4 77286895 0.005929 90.655776
chr4 77287101 0.005844 90.655777
chr4 77287505 0.005818 90.655779
chr4 77288272 0.005806 90.655784
chr4 77288627 0.005807 90.655786
chr4 77288833 0.005807 90.655787
chr4 77289786 0.005807 90.655793
chr4 77289952 0.005807 90.655794
chr4 77291135 0.005807 90.655801
chr4 77291400 0.00581 90.655802
chr4 77291543 0.00581 90.655803
chr4 77292054 0.005871 90.655806
chr4 77292076 0.005875 90.655806
chr4 77292156 0.005875 90.655807
chr4 77292319 0.005875 90.655807
chr4 77292588 0.005875 90.655809
chr4 77292801 0.005947 90.65581
chr4 77293311 0.005947 90.655813
chr4 77293636 0.005951 90.655815
chr4 77294316 0.005952 90.655819
chr4 77294517 0.005952 90.655821
chr4 77294546 0.005957 90.655821
chr4 77294803 0.005977 90.655822
chr4 77295585 0.428185 90.655827
chr4 77296600 0.268272 90.656262
chr4 77296780 0.268465 90.65631
chr4 77296802 0.043358 90.656316
chr4 77296863 0.026478 90.656318
chr4 77296973 0.026365 90.656321
chr4 77298043 0.026367 90.656349
chr4 77298134 0.026367 90.656352
chr4 77298187 0.026368 90.656353
chr4 77298757 0.20384 90.656368
chr4 77298898 2.469295 90.656397
chr4 77299322 1.379071 90.657444
chr4 77299418 1.378222 90.657576
chr4 77299705 0.002828 90.657972
chr4 77303788 0.002777 90.657984
chr4 77303898 0.002726 90.657984
chr4 77304022 0.002676 90.657984
chr4 77304781 0.002676 90.657986
chr4 77305700 0.002676 90.657989
chr4 77305876 0.002676 90.657989
chr4 77306786 0.002676 90.657992
chr4 77308050 0.002612 90.657995
chr4 77308525 0.002612 90.657996
chr4 77309568 0.002612 90.657999
chr4 77309789 0.002612 90.657999
chr4 77310156 0.002612 90.658
chr4 77310265 0.002612 90.658001
chr4 77310279 0.002612 90.658001
chr4 77310601 0.002612 90.658002
chr4 77311355 0.002612 90.658004
chr4 77311533 0.002612 90.658004
chr4 77311791 0.002612 90.658005
chr4 77316547 0.002612 90.658017
chr4 77316914 0.002612 90.658018
chr4 77317096 0.002612 90.658019
chr4 77317124 0.002612 90.658019
chr4 77317140 0.002612 90.658019
chr4 77317626 0.002612 90.65802
chr4 77318777 0.002612 90.658023
chr4 77319115 0.002612 90.658024
chr4 77320945 0.002612 90.658029
chr4 77321257 0.002612 90.658029
chr4 77322047 0.002612 90.658031
chr4 77322295 0.002612 90.658032
chr4 77322664 0.002625 90.658033
chr4 77323100 0.002625 90.658034
chr4 77323113 0.002625 90.658034
chr4 77323765 0.002682 90.658036
chr4 77323839 0.002735 90.658036
chr4 77324078 0.002888 90.658037
chr4 77326558 0.006368 90.658044
chr4 77327018 0.006368 90.658047
chr4 77327973 0.01229 90.658053
chr4 77328047 0.01229 90.658054
chr4 77328746 0.01229 90.658063
chr4 77328845 0.01229 90.658064
chr4 77330682 0.026754 90.658086
chr4 77332122 0.026754 90.658125
chr4 77333030 0.040587 90.658149
chr4 77333122 0.040621 90.658153
chr4 77334000 0.040861 90.658189
chr4 77334088 0.041458 90.658192
chr4 77334766 0.203862 90.65822
chr4 77338908 0.204752 90.659065
chr4 77341108 0.733305 90.659515
chr4 77341554 0.736282 90.659842
chr4 77342968 0.655092 90.660883
chr4 77343013 0.599617 90.660913
chr4 77343097 0.532587 90.660963
chr4 77343123 0.449419 90.660977
chr4 77343148 0.371617 90.660988
chr4 77343257 0.247476 90.661029
chr4 77343385 0.159098 90.66106
chr4 77346537 0.158921 90.661562
chr4 77346631 0.158594 90.661577
chr4 77346795 0.158423 90.661603
chr4 77346880 0.158285 90.661616
chr4 77347474 0.158252 90.66171
chr4 77348960 0.159071 90.661945
chr4 77349057 0.160284 90.661961
chr4 77350025 0.740038 90.662116
chr4 77354391 0.929164 90.665347
chr4 77356246 7.979302 90.667071
chr4 77357528 6.748923 90.6773
chr4 77357654 6.241491 90.67815
chr4 77357747 2.697151 90.678731
chr4 77357778 0.545385 90.678815
chr4 77358987 0.55679 90.679474
chr4 77359017 0.557334 90.679491
chr4 77359675 0.55837 90.679857
chr4 77359677 0.621946 90.679858
chr4 77359789 0.688539 90.679928
chr4 77360431 0.696879 90.68037
chr4 77361607 1.835939 90.68119
chr4 77362699 1.689344 90.683195
chr4 77364126 1.37204 90.685605
chr4 77364746 1.265634 90.686456
chr4 77364799 1.147424 90.686523
chr4 77365492 1.145755 90.687318
chr4 77367287 0.846226 90.689375
chr4 77367688 0.762696 90.689714
chr4 77367988 0.766321 90.689943
chr4 77368193 0.728787 90.6901
chr4 77368470 0.694721 90.690302
chr4 77368847 0.663819 90.690564
chr4 77370038 0.659076 90.691354
chr4 77372923 0.587276 90.693256
chr4 77376636 0.213136 90.695436
chr4 77376813 0.212878 90.695474
chr4 77380337 0.214212 90.696224
chr4 77382068 0.21895 90.696595
chr4 77386032 0.258196 90.697463
chr4 77386372 0.322899 90.697551
chr4 77386385 0.32414 90.697555
chr4 77387756 0.32509 90.697999
chr4 77387847 0.325233 90.698029
chr4 77392092 0.392633 90.69941
chr4 77395940 0.756761 90.70092
chr4 77397585 0.183598 90.702165
chr4 77397830 0.181022 90.70221
chr4 77398015 0.073854 90.702244
chr4 77405719 0.074404 90.702813
chr4 77406047 0.075222 90.702837
chr4 77407344 0.075623 90.702935
chr4 77408781 0.076621 90.703043
chr4 77409795 0.078393 90.703121
chr4 77409818 0.080722 90.703123
chr4 77409945 0.082676 90.703133
chr4 77410318 0.085852 90.703164
chr4 77410893 0.092047 90.703213
chr4 77411996 0.1094 90.703315
chr4 77412140 0.181729 90.703331
chr4 77412338 0.256354 90.703367
chr4 77412997 0.392002 90.703536
chr4 77413101 0.556819 90.703576
chr4 77413179 0.752878 90.70362
chr4 77415271 0.735852 90.705195
chr4 77416627 1.407766 90.706193
chr4 77416817 1.93986 90.70646
chr4 77417060 1.25437 90.706931
chr4 77417203 0.94115 90.707111
chr4 77417214 0.669199 90.707121
chr4 77417756 0.69987 90.707484
chr4 77418383 0.839084 90.707923
chr4 77418681 1.039841 90.708173
chr4 77419073 1.052762 90.70858
chr4 77419107 1.064914 90.708616
chr4 77420784 1.051066 90.710402
chr4 77421052 0.848328 90.710684
chr4 77422785 0.651433 90.712154
chr4 77424006 0.637084 90.712949
chr4 77424167 0.63 90.713052
chr4 77424258 0.62288 90.713109
chr4 77424379 0.622405 90.713184
chr4 77425998 0.622438 90.714192
chr4 77428011 0.168606 90.715445
chr4 77429266 0.161758 90.715657
chr4 77430136 0.161037 90.715797
chr4 77430773 0.161298 90.7159
chr4 77432040 0.1638 90.716104
chr4 77432584 0.226027 90.716194
chr4 77432950 0.530001 90.716276
chr4 77433888 0.532909 90.716773
chr4 77434195 0.533399 90.716937
chr4 77435512 0.528891 90.717639
chr4 77435852 0.524813 90.717819
chr4 77437749 3.907397 90.718815
chr4 77439979 26.683204 90.727528
chr4 77440033 26.682823 90.728969
chr4 77440267 54.217859 90.735213
chr4 77440333 54.220122 90.738791
chr4 77440488 54.220122 90.747196
chr4 77440540 54.220122 90.750015
chr4 77441014 54.183191 90.775715
chr4 77441688 24.964975 90.812235
chr4 77441772 6.018999 90.814332
chr4 77442504 0.665941 90.818738
chr4 77446681 0.731577 90.821519
chr4 77446905 0.802826 90.821683
chr4 77447993 0.783428 90.822557
chr4 77448199 0.773877 90.822718
chr4 77448375 0.77624 90.822854
chr4 77448600 0.764231 90.823029
chr4 77448914 0.76662 90.823269
chr4 77449020 0.744649 90.82335
chr4 77449143 0.747011 90.823442
chr4 77449174 0.750976 90.823465
chr4 77449358 0.668716 90.823603
chr4 77451398 0.67139 90.824967
chr4 77451537 0.67307 90.825061
chr4 77452151 0.674953 90.825474
chr4 77452807 0.67727 90.825917
chr4 77454205 0.741779 90.826863
chr4 77454420 0.810555 90.827023
chr4 77454497 1.849305 90.827085
chr4 77454808 4.690362 90.827661
chr4 77454831 5.758424 90.827768
chr4 77455032 9.02868 90.828926
chr4 77455181 9.266084 90.830271
chr4 77455314 8.11571 90.831504
chr4 77455332 5.922134 90.83165
chr4 77455405 5.835353 90.832082
chr4 77455540 5.757565 90.83287
chr4 77455607 4.930066 90.833255
chr4 77455630 3.672675 90.833369
chr4 77455648 2.120171 90.833435
chr4 77456093 0.841087 90.834378
chr4 77456344 0.73894 90.83459
chr4 77456805 13.866008 90.83493
chr4 77456937 0.318012 90.83676
chr4 77457407 0.23457 90.83691
chr4 77457490 0.220447 90.836929
chr4 77458308 0.223136 90.83711
chr4 77458579 0.229397 90.83717
chr4 77458649 0.233053 90.837186
chr4 77458906 0.250831 90.837246
chr4 77459600 0.299236 90.83742
chr4 77460164 0.317148 90.837589
chr4 77460312 0.339816 90.837636
chr4 77460767 0.375458 90.837791
chr4 77460963 0.405062 90.837864
chr4 77461011 0.43733 90.837884
chr4 77461143 0.455246 90.837941
chr4 77461554 0.454941 90.838128
chr4 77461983 0.460929 90.838324
chr4 77462390 0.460511 90.838511
chr4 77462708 0.459514 90.838658
chr4 77462778 0.46057 90.83869
chr4 77463240 0.462101 90.838903
chr4 77463895 0.46402 90.839205
chr4 77463930 0.46708 90.839222
chr4 77464016 0.470703 90.839262
chr4 77464053 0.471441 90.839279
chr4 77464211 0.480102 90.839354
chr4 77464411 0.721276 90.83945
chr4 77464513 1.260365 90.839523
chr4 77464524 1.755696 90.839537
chr4 77465025 1.523893 90.840417
chr4 77465074 1.330836 90.840491
chr4 77465162 0.845583 90.840608
chr4 77466032 0.755177 90.841344
chr4 77466051 0.671939 90.841358
chr4 77467405 0.723541 90.842268
chr4 77467600 1.435712 90.842409
chr4 77467624 2.254188 90.842444
chr4 77467690 3.116531 90.842593
chr4 77467819 5.129781 90.842995
chr4 77468196 5.130538 90.844929
chr4 77468594 5.025688 90.84697
chr4 77468785 4.944212 90.84793
chr4 77469193 4.387791 90.849948
chr4 77469221 3.709317 90.85007
chr4 77469906 2.975204 90.852611
chr4 77470300 1.560857 90.853784
chr4 77471116 1.094965 90.855057
chr4 77473829 1.021292 90.858028
chr4 77477227 0.937773 90.861498
chr4 77478465 0.867022 90.862659
chr4 77481357 0.585337 90.865167
chr4 77482152 0.586151 90.865632
chr4 77483954 0.589317 90.866688
chr4 77484202 0.57269 90.866834
chr4 77484311 0.560824 90.866897
chr4 77487977 0.578034 90.868953
chr4 77489085 0.588234 90.869593
chr4 77489645 0.582742 90.869923
chr4 77490144 0.574184 90.870213
chr4 77490527 0.578926 90.870433
chr4 77490970 0.575281 90.87069
chr4 77492155 0.569628 90.871372
chr4 77494621 0.571132 90.872776
chr4 77495571 0.572476 90.873319
chr4 77497756 0.575293 90.87457
chr4 77498236 0.577135 90.874846
chr4 77501475 0.578551 90.876715
chr4 77502052 0.580321 90.877049
chr4 77502284 0.580827 90.877184
chr4 77502743 0.581289 90.87745
chr4 77502802 0.581343 90.877485
chr4 77503120 0.582151 90.877669
chr4 77504400 0.583 90.878415
chr4 77504459 0.583862 90.878449
chr4 77507661 0.599053 90.880318
chr4 77507863 0.614452 90.880439
chr4 77508075 0.636279 90.88057
chr4 77509140 0.710241 90.881247
chr4 77512141 0.501217 90.883379
chr4 77513071 0.472672 90.883845
chr4 77513706 0.470027 90.884145
chr4 77514773 0.45993 90.884647
chr4 77514977 0.453164 90.88474
chr4 77515370 0.445961 90.884919
chr4 77517128 0.444438 90.885703
chr4 77518210 0.446655 90.886183
chr4 77518388 0.450129 90.886263
chr4 77519977 0.377029 90.886978
chr4 77520037 0.329748 90.887001
chr4 77520104 0.297939 90.887023
chr4 77521826 0.288394 90.887536
chr4 77522294 0.288573 90.887671
chr4 77522427 1.115664 90.887709
chr4 77523129 0.206553 90.888492
chr4 77523506 0.201019 90.88857
chr4 77526074 0.202498 90.889087
chr4 77528821 0.203199 90.889643
chr4 77531203 0.204721 90.890127
chr4 77531337 0.206656 90.890154
chr4 77531477 0.208214 90.890183
chr4 77535426 0.208222 90.891005
chr4 77535836 0.20841 90.891091
chr4 77536598 0.208511 90.89125
chr4 77536781 0.208543 90.891288
chr4 77538555 0.22797 90.891658
chr4 77540746 0.2513 90.892157
chr4 77542398 0.695111 90.892572
chr4 77543732 0.683291 90.8935
chr4 77543863 0.674922 90.893589
chr4 77545018 0.343148 90.894369
chr4 77547816 0.347375 90.895329
chr4 77547939 0.337511 90.895372
chr4 77548168 0.308359 90.895449
chr4 77549559 0.277686 90.895878
chr4 77551143 0.281119 90.896318
chr4 77551148 0.276478 90.896319
chr4 77551310 0.273276 90.896364
chr4 77551408 0.26961 90.896391
chr4 77551856 0.261004 90.896511
chr4 77552782 0.259185 90.896753
chr4 77553691 0.257609 90.896989
chr4 77553854 0.255138 90.897031
chr4 77555857 0.258029 90.897542
chr4 77556393 0.263609 90.89768
chr4 77557958 0.266658 90.898093
chr4 77558538 3.192682 90.898247
chr4 77558777 0.481689 90.89901
chr4 77560635 0.284509 90.899905
chr4 77560811 0.24059 90.899955
chr4 77561373 0.220457 90.900091
chr4 77561564 0.201121 90.900133
chr4 77561724 0.184367 90.900165
chr4 77562538 0.125191 90.900315
chr4 77562958 0.401561 90.900367
chr4 77563119 0.382082 90.900432
chr4 77564469 0.036233 90.900948
chr4 77570354 0.077465 90.901161
chr4 77572689 0.077465 90.901342
chr4 77573615 0.076822 90.901414
chr4 77574194 0.080036 90.901458
chr4 77575268 0.08069 90.901544
chr4 77576070 0.151569 90.901609
chr4 77576402 0.342521 90.901659
chr4 77576975 0.193384 90.901855
chr4 77578750 0.196175 90.902199
chr4 77580240 0.203027 90.902491
chr4 77582838 0.673988 90.903019
chr4 77583991 0.209746 90.903796
chr4 77585042 0.209875 90.904016
chr4 77586259 0.210044 90.904271
chr4 77587257 0.210187 90.904481
chr4 77588821 0.211117 90.90481
chr4 77589959 0.242347 90.90505
chr4 77590488 0.242347 90.905178
chr4 77591448 0.230254 90.905411
chr4 77592747 0.230337 90.90571
chr4 77593565 0.231305 90.905898
chr4 77594917 10.441152 90.906211
chr4 77595103 0.355874 90.908153
chr4 77595341 0.252905 90.908238
chr4 77595358 0.186312 90.908242
chr4 77596195 0.188166 90.908398
chr4 77596543 0.191133 90.908464
chr4 77597201 0.199044 90.908589
chr4 77597732 0.207077 90.908695
chr4 77597735 0.213319 90.908696
chr4 77598673 0.223345 90.908896
chr4 77599417 0.223366 90.909062
chr4 77599601 0.232775 90.909103
chr4 77600874 0.290221 90.909399
chr4 77601715 0.405823 90.909644
chr4 77602954 0.422869 90.910146
chr4 77608939 0.444016 90.912677
chr4 77610963 0.445705 90.913576
chr4 77612903 0.450297 90.914441
chr4 77614436 0.457063 90.915131
chr4 77616338 0.463116 90.916
chr4 77616562 0.471343 90.916104
chr4 77616748 0.481541 90.916192
chr4 77619296 0.481791 90.917419
chr4 77621705 0.683367 90.918579
chr4 77622288 0.570969 90.918978
chr4 77622563 0.564969 90.919135
chr4 77624736 4.403001 90.920362
chr4 77624802 5.934886 90.920653
chr4 77625202 0.396611 90.923027
chr4 77625628 0.301543 90.923196
chr4 77625879 0.274385 90.923271
chr4 77626887 0.26371 90.923548
chr4 77627821 0.211704 90.923794
chr4 77628144 0.166845 90.923863
chr4 77629172 0.156272 90.924034
chr4 77629766 0.156299 90.924127
chr4 77631425 0.130216 90.924386
chr4 77631887 0.122991 90.924447
chr4 77634028 0.179727 90.92471
chr4 77634639 0.502416 90.92482
chr4 77635904 0.118812 90.925455
chr4 77636643 0.115974 90.925543
chr4 77637502 0.118936 90.925643
chr4 77638380 0.118854 90.925747
chr4 77638472 0.120563 90.925758
chr4 77640617 0.125595 90.926017
chr4 77641447 0.128779 90.926121
chr4 77641520 0.128827 90.92613
chr4 77641679 0.131659 90.926151
chr4 77642723 0.138989 90.926288
chr4 77643144 0.173524 90.926347
chr4 77643863 0.205305 90.926471
chr4 77644860 0.874576 90.926676
chr4 77645210 0.816683 90.926982
chr4 77645591 0.442663 90.927293
chr4 77647590 0.124942 90.928178
chr4 77649374 0.108473 90.928401
chr4 77650313 0.096035 90.928503
chr4 77650897 0.090477 90.928559
chr4 77652219 0.090476 90.928679
chr4 77652944 0.090098 90.928744
chr4 77653298 0.090091 90.928776
chr4 77660162 0.277671 90.929395
chr4 77660731 0.587704 90.929553
chr4 77663262 0.69363 90.93104
chr4 77664148 0.549856 90.931655
chr4 77665279 0.176432 90.932277
chr4 77666254 0.137834 90.932449
chr4 77666725 0.130744 90.932514
chr4 77668862 0.129203 90.932793
chr4 77669728 0.127675 90.932905
chr4 77671439 0.125469 90.933123
chr4 77675200 0.177845 90.933595
chr4 77675505 0.236269 90.933649
chr4 77677385 0.246974 90.934094
chr4 77678666 0.304152 90.93441
chr4 77678728 0.369241 90.934429
chr4 77678812 0.421612 90.93446
chr4 77680526 0.404717 90.935182
chr4 77681958 0.438197 90.935762
chr4 77684099 0.43699 90.9367
chr4 77685377 0.435881 90.937259
chr4 77686695 0.442386 90.937833
chr4 77688152 0.431142 90.938478
chr4 77690109 0.417825 90.939321
chr4 77693956 0.412996 90.940929
chr4 77695104 0.408036 90.941403
chr4 77695349 0.407713 90.941503
chr4 77697663 0.400958 90.942446
chr4 77699790 0.390413 90.943299
chr4 77701909 0.390055 90.944126
chr4 77707298 0.388258 90.946228
chr4 77707376 0.389078 90.946259
chr4 77707780 0.391411 90.946416
chr4 77713874 0.592591 90.948801
chr4 77714414 0.611361 90.949121
chr4 77717083 0.795431 90.950753
chr4 77718176 0.797192 90.951622
chr4 77718624 47.917026 90.951979
chr4 77719779 47.917026 91.007324
chr4 77719812 47.917026 91.008905
chr4 77719935 47.917026 91.014799
chr4 77720135 17.349881 91.024382
chr4 77720222 17.349881 91.025892
chr4 77720967 2.919676 91.038817
chr4 77721295 2.915477 91.039775
chr4 77721997 2.914211 91.041822
chr4 77722190 3.04103 91.042384
chr4 77723828 3.196037 91.047365
chr4 77724144 3.389223 91.048375
chr4 77724469 3.717883 91.049477
chr4 77724484 4.053727 91.049532
chr4 77724765 6.945742 91.050671
chr4 77724967 6.947717 91.052075
chr4 77725026 6.94918 91.052484
chr4 77725091 6.950603 91.052936
chr4 77725242 6.959059 91.053986
chr4 77725472 7.026647 91.055586
chr4 77725552 7.15526 91.056148
chr4 77725778 7.481531 91.057765
chr4 77725857 7.481531 91.058357
chr4 77726159 7.36301 91.060616
chr4 77726279 5.985313 91.0615
chr4 77726298 5.431937 91.061613
chr4 77726588 0.625944 91.063189
chr4 77727505 0.595447 91.063762
chr4 77727733 0.586128 91.063898
chr4 77728640 0.585875 91.06443
chr4 77729691 0.486286 91.065046
chr4 77729725 0.394988 91.065062
chr4 77729779 0.333651 91.065083
chr4 77729849 0.282895 91.065107
chr4 77730260 0.276343 91.065223
chr4 77731493 0.322627 91.065564
chr4 77731943 7.684506 91.065709
chr4 77732542 10.849715 91.070312
chr4 77732563 18.954624 91.07054
chr4 77732625 32.414972 91.071715
chr4 77732889 32.442189 91.080273
chr4 77732944 53.45016 91.082057
chr4 77733294 53.45016 91.100765
chr4 77734939 17.395022 91.18869
chr4 77735062 8.212269 91.19083
chr4 77735406 0.715045 91.193655
chr4 77735709 0.649468 91.193871
chr4 77736601 0.640827 91.194451
chr4 77738163 0.638987 91.195452
chr4 77738957 0.637535 91.195959
chr4 77739602 0.638626 91.19637
chr4 77740367 0.642934 91.196859
chr4 77740881 0.664469 91.197189
chr4 77742277 1.166133 91.198117
chr4 77743520 1.749021 91.199566
chr4 77745921 1.696194 91.203766
chr4 77746642 1.172853 91.204989
chr4 77747798 0.714379 91.206344
chr4 77748334 0.648638 91.206727
chr4 77751647 1.761786 91.208876
chr4 77752579 1.747616 91.210518
chr4 77754140 1.395485 91.213246
chr4 77754619 1.049807 91.213915
chr4 77754699 0.489073 91.213999
chr4 77755529 0.489087 91.214405
chr4 77756453 0.486563 91.214857
chr4 77757239 0.486417 91.215239
chr4 77759014 0.485692 91.216102
chr4 77759426 0.485727 91.216303
chr4 77760675 0.485746 91.216909
chr4 77760785 0.485803 91.216963
chr4 77762432 0.486188 91.217763
chr4 77762514 0.486236 91.217803
chr4 77762590 0.48607 91.21784
chr4 77763831 0.486165 91.218443
chr4 77763998 0.486196 91.218524
chr4 77766480 37.297439 91.219731
chr4 77766671 69.027195 91.226855
chr4 77767645 69.027195 91.294087
chr4 77767680 69.027195 91.296503
chr4 77767870 69.027195 91.309618
chr4 77768132 69.027195 91.327703
chr4 77768463 69.027195 91.350551
chr4 77768586 69.027195 91.359042
chr4 77768907 40.921842 91.381199
chr4 77769967 32.75266 91.424576
chr4 77770388 20.693912 91.438365
chr4 77770486 0.956776 91.440393
chr4 77770549 0.882853 91.440454
chr4 77770881 0.834034 91.440747
chr4 77771139 0.834004 91.440962
chr4 77771345 0.635544 91.441134
chr4 77771465 2.962861 91.44121
chr4 77772108 2.963994 91.443115
chr4 77772151 2.963643 91.443243
chr4 77772202 2.964787 91.443394
chr4 77772570 0.43921 91.444485
chr4 77772783 0.376701 91.444578
chr4 77772872 0.3588 91.444612
chr4 77772910 0.353383 91.444625
chr4 77772989 0.438299 91.444653
chr4 77773062 7.343238 91.444685
chr4 77773205 7.41185 91.445735
chr4 77773437 8.305056 91.447455
chr4 77773610 8.688215 91.448892
chr4 77774390 8.688974 91.455669
chr4 77775011 0.544603 91.461064
chr4 77776205 0.499199 91.461715
chr4 77776925 0.47178 91.462074
chr4 77777587 0.394989 91.462386
chr4 77778380 0.335834 91.4627
chr4 77778487 0.284736 91.462736
chr4 77779401 0.344677 91.462996
chr4 77779492 0.337579 91.463027
chr4 77780095 0.508588 91.463231
chr4 77783243 0.517103 91.464832
chr4 77783901 0.613246 91.465172
chr4 77784022 0.861305 91.465246
chr4 77784120 1.299203 91.465331
chr4 77784296 1.541648 91.465559
chr4 77784342 2.136759 91.46563
chr4 77784395 3.342805 91.465743
chr4 77784690 3.392422 91.46673
chr4 77784736 3.432468 91.466886
chr4 77784748 3.489293 91.466927
chr4 77787143 4.808178 91.475284
chr4 77787204 3.766483 91.475577
chr4 77792007 2.434306 91.493667
chr4 77792983 2.051238 91.496043
chr4 77793015 2.051345 91.496109
chr4 77793313 2.05133 91.49672
chr4 77793375 0.958938 91.496847
chr4 77793829 0.91285 91.497283
chr4 77793971 0.904451 91.497412
chr4 77794236 0.902239 91.497652
chr4 77795631 0.902084 91.498911
chr4 77797812 0.247653 91.500878
chr4 77799849 0.343077 91.501383
chr4 77800459 0.565253 91.501592
chr4 77800625 0.756198 91.501686
chr4 77802011 0.758916 91.502734
chr4 77802385 0.757755 91.503018
chr4 77803018 0.756467 91.503497
chr4 77803245 0.751023 91.503669
chr4 77803541 0.750789 91.503891
chr4 77803598 0.750209 91.503934
chr4 77803619 0.750334 91.50395
chr4 77804009 0.751953 91.504243
chr4 77804491 0.755677 91.504605
chr4 77805298 1.118605 91.505215
chr4 77805651 0.856528 91.50561
chr4 77805928 0.800853 91.505847
chr4 77806097 0.755934 91.505982
chr4 77807779 0.756157 91.507254
chr4 77808976 0.756531 91.508159
chr4 77812294 0.760591 91.510669
chr4 77812990 0.763298 91.511198
chr4 77813832 0.639169 91.511841
chr4 77813870 0.5169 91.511865
chr4 77813898 0.37608 91.51188
chr4 77814209 0.190125 91.511997
chr4 77819842 0.191471 91.513068
chr4 77823330 0.226516 91.513736
chr4 77824289 0.313575 91.513953
chr4 77824442 0.418545 91.514001
chr4 77826089 0.669606 91.51469
chr4 77828402 0.83094 91.516239
chr4 77828957 0.954791 91.5167
chr4 77830057 1.002801 91.51775
chr4 77830434 1.016357 91.518128
chr4 77830505 1.029195 91.518201
chr4 77831307 1.545674 91.519026
chr4 77833573 2.394769 91.522529
chr4 77834095 12.162785 91.523779
chr4 77834763 12.168658 91.531903
chr4 77834868 12.168859 91.533181
chr4 77835085 5.54576 91.535822
chr4 77835455 4.620986 91.537874
chr4 77836665 3.443956 91.543465
chr4 77840307 0.360424 91.556008
chr4 77845274 0.357015 91.557798
chr4 77845772 0.356204 91.557976
chr4 77847618 0.360751 91.558634
chr4 77848371 0.390319 91.558905
chr4 77849324 0.827802 91.559277
chr4 77850750 1.121827 91.560458
chr4 77851537 2.573538 91.56134
chr4 77854979 2.032133 91.570199
chr4 77855844 1.601469 91.571956
chr4 77857236 1.339549 91.574186
chr4 77857753 0.908467 91.574878
chr4 77858105 0.707569 91.575198
chr4 77859067 0.709491 91.575879
chr4 77859759 0.711206 91.57637
chr4 77860806 0.71208 91.577114
chr4 77861388 0.712469 91.577529
chr4 77862372 0.720623 91.57823
chr4 77862464 0.732631 91.578296
chr4 77863211 0.753148 91.578843
chr4 77864127 0.761519 91.579533
chr4 77864488 0.756875 91.579808
chr4 77864512 0.756842 91.579826
chr4 77864911 0.756958 91.580128
chr4 77865429 0.756775 91.58052
chr4 77865764 0.757582 91.580774
chr4 77866648 13.221403 91.581444
chr4 77868340 6.226136 91.603814
chr4 77872088 1.081873 91.62715
chr4 77875361 0.096077 91.630691
chr4 77876839 0.063016 91.630833
chr4 77877320 0.057088 91.630863
chr4 77878392 0.057154 91.630924
chr4 77878410 0.057155 91.630925
chr4 77878521 0.057256 91.630932
chr4 77878560 0.057279 91.630934
chr4 77879214 0.059576 91.630971
chr4 77879312 0.063333 91.630977
chr4 77880193 0.061102 91.631033
chr4 77880892 0.059485 91.631076
